Unnamed: 0,количество детей,трудовой стаж,возраст,образование,education_id,семейный статус,family_status_id,пол,тип занятости,уровень дохода,цель кредита,просрочки
37,0,-6448.810859676204,43,ВЫСШЕЕ,0,гражданский брак,1,F,компаньон,154128.87867164516,приобретение автомобиля,0
38,0,-597.8818273051091,25,высшее,0,Не женат / не замужем,4,M,сотрудник,192247.29863931693,образование,1
39,0,-650.5877964026586,31,высшее,0,гражданский брак,1,F,компаньон,754240.7972479195,заняться образованием,0
40,0,-1030.3626056014652,30,среднее,1,Не женат / не замужем,4,M,компаньон,142865.57914588266,покупка недвижимости,0
41,0,,50,среднее,1,женат / замужем,0,F,госслужащий,,сделка с подержанным автомобилем,0
42,0,-1257.4961901986044,20,неоконченное высшее,2,Не женат / не замужем,4,F,сотрудник,82065.08902109257,получение образования,0
43,0,-4375.681384360526,43,неоконченное высшее,2,в разводе,3,F,компаньон,272957.1335085173,приобретение автомобиля,0
44,1,-1362.0417275002387,26,СРЕДНЕЕ,1,женат / замужем,0,F,сотрудник,100780.496748708,на покупку своего автомобиля,0
45,1,-1039.4517405766287,49,среднее,1,Не женат / не замужем,4,F,сотрудник,106385.91972360344,заняться образованием,0
46,2,-2262.712303593806,37,среднее,1,женат / замужем,0,F,компаньон,182682.4598984296,сделка с подержанным автомобилем,0
47,1,-2689.1372742032745,33,высшее,0,гражданский брак,1,M,госслужащий,356277.90934547666,на проведение свадьбы,0
48,0,-3341.0678863600638,45,среднее,1,женат / замужем,0,F,сотрудник,162065.5164499865,строительство собственной недвижимости,0
49,0,-1181.443228272809,54,среднее,1,женат / замужем,0,F,сотрудник,44591.80688753629,автомобиль,0
50,0,353731.4323382981,63,среднее,1,женат / замужем,0,F,пенсионер,92342.73061169684,автомобили,0
51,1,-6953.631654563154,50,высшее,0,гражданский брак,1,F,сотрудник,203199.6835687721,свадьба,0
52,1,-3554.6715257531628,28,среднее,1,женат / замужем,0,F,сотрудник,52746.4223236867,получение дополнительного образования,0
53,0,-4219.88338560805,61,СРЕДНЕЕ,1,в разводе,3,F,компаньон,311453.5995296128,покупка своего жилья,0
54,0,-3480.072792773725,27,высшее,0,гражданский брак,1,F,сотрудник,92238.81311104933,автомобили,0
55,0,,54,среднее,1,гражданский брак,1,F,пенсионер,,сыграть свадьбу,1
56,0,370145.0872371805,64,среднее,1,вдовец / вдова,2,F,пенсионер,149141.04353267475,образование,0
57,0,-2424.809748937992,44,среднее,1,вдовец / вдова,2,F,сотрудник,58616.40596004223,образование,0
58,0,-335.31863038428764,36,высшее,0,женат / замужем,0,M,сотрудник,414404.2028972774,недвижимость,0
59,0,-4341.7867754100425,53,среднее,1,гражданский брак,1,F,компаньон,261369.5064850721,операции с недвижимостью,0
60,1,-2534.462390327333,48,среднее,1,женат / замужем,0,M,сотрудник,129902.28373544553,заняться образованием,0
61,0,-2986.20212028634,42,среднее,1,гражданский брак,1,F,сотрудник,173987.4729290881,покупка недвижимости,0
62,0,-7845.6492334208915,48,Высшее,0,Не женат / не замужем,4,M,госслужащий,435388.1952724901,получение высшего образования,0
63,0,-1182.5477437277514,45,среднее,1,женат / замужем,0,F,сотрудник,110004.35982164997,операции с жильем,0
64,0,-118.89141142450092,35,неоконченное высшее,2,Не женат / не замужем,4,M,сотрудник,282900.4713076374,сделка с подержанным автомобилем,0
65,0,,21,среднее,1,Не женат / не замужем,4,M,компаньон,,операции с коммерческой недвижимостью,0
66,0,-916.4288292557608,28,среднее,1,женат / замужем,0,M,сотрудник,145214.52360210626,заняться образованием,0
67,0,,52,высшее,0,женат / замужем,0,F,пенсионер,,покупка жилья для семьи,0
68,2,-2152.475526346754,46,высшее,0,женат / замужем,0,M,компаньон,592071.4645709557,операции с коммерческой недвижимостью,0
69,0,-779.2284491479346,23,среднее,1,Не женат / не замужем,4,F,сотрудник,91247.05816440449,покупка своего жилья,0
70,1,-2802.2266713967297,28,ВЫСШЕЕ,0,женат / замужем,0,M,госслужащий,207561.4669982881,покупка коммерческой недвижимости,0
71,0,338113.5298924872,62,среднее,1,женат / замужем,0,F,пенсионер,43929.69639696845,автомобили,0
72,1,,32,высшее,0,женат / замужем,0,M,госслужащий,,операции с коммерческой недвижимостью,0
73,0,-1631.9394026219366,40,среднее,1,гражданский брак,1,M,сотрудник,97946.84101113868,заняться образованием,0
74,1,-5110.54370925475,45,среднее,1,женат / замужем,0,F,сотрудник,81142.78348993426,покупка жилья для семьи,0
75,1,-2953.151947577933,38,среднее,1,женат / замужем,0,M,сотрудник,81935.38150009303,операции с недвижимостью,1
76,1,-2252.1927219941026,44,высшее,0,женат / замужем,0,M,сотрудник,148992.03001020846,на покупку подержанного автомобиля,0
77,0,-726.9437706256638,43,высшее,0,Не женат / не замужем,4,F,сотрудник,140843.97435987124,свой автомобиль,0
78,0,359722.94507371227,61,высшее,0,женат / замужем,0,M,пенсионер,175127.64600043945,сделка с автомобилем,0
79,0,-3278.296751179717,27,среднее,1,Не женат / не замужем,4,M,компаньон,253681.70989067023,автомобили,0
80,0,-127.33494240597255,25,среднее,1,Не женат / не замужем,4,F,компаньон,82740.41289886518,сделка с автомобилем,0
81,0,-204.6731655316556,33,Среднее,1,женат / замужем,0,F,сотрудник,110833.2153688148,профильное образование,0
82,2,,50,высшее,0,женат / замужем,0,F,сотрудник,,жилье,0
83,0,,52,среднее,1,женат / замужем,0,M,сотрудник,,жилье,0
84,0,-7125.21502761462,53,среднее,1,женат / замужем,0,F,госслужащий,255909.1728015964,операции со своей недвижимостью,0
85,0,-275.99384748839213,30,среднее,1,женат / замужем,0,M,сотрудник,54123.55781196013,высшее образование,0
86,0,383933.5496643384,64,среднее,1,гражданский брак,1,M,пенсионер,243033.4532808924,свадьба,0
87,0,337659.5350035947,53,среднее,1,женат / замужем,0,F,пенсионер,74363.8565543125,покупка жилья для сдачи,0
88,0,373129.7896543124,63,высшее,0,гражданский брак,1,F,пенсионер,206872.3500608577,на проведение свадьбы,0
89,0,-72.62578520446468,42,среднее,1,гражданский брак,1,F,компаньон,49463.91938004758,сделка с подержанным автомобилем,0
90,2,,35,высшее,0,женат / замужем,0,F,сотрудник,,операции с жильем,0
91,2,-5010.9974361252725,39,среднее,1,женат / замужем,0,F,сотрудник,155886.85657536547,покупка недвижимости,0
92,1,-1669.2796814947967,40,высшее,0,гражданский брак,1,F,сотрудник,191397.96274969063,сыграть свадьбу,0
93,1,-1446.6225418245374,32,среднее,1,женат / замужем,0,M,сотрудник,331139.5902983196,сделка с автомобилем,1
94,1,,34,высшее,0,гражданский брак,1,F,компаньон,,на проведение свадьбы,0
95,0,-541.8322411633181,51,высшее,0,женат / замужем,0,F,сотрудник,94187.8780821613,автомобиль,0
96,0,,44,СРЕДНЕЕ,1,женат / замужем,0,F,сотрудник,,покупка жилой недвижимости,0
97,0,,47,высшее,0,женат / замужем,0,F,сотрудник,,профильное образование,0
98,0,364906.2057355492,54,высшее,0,женат / замужем,0,F,пенсионер,199707.2985241309,покупка жилья для сдачи,0
99,0,346541.6188949218,0,Среднее,1,женат / замужем,0,F,пенсионер,71291.52249055503,автомобиль,0
100,0,-605.0264409707586,49,СРЕДНЕЕ,1,вдовец / вдова,2,F,сотрудник,176384.8825358073,операции с недвижимостью,1
101,0,391558.9618490568,65,среднее,1,женат / замужем,0,F,пенсионер,157970.48639320125,на покупку своего автомобиля,0
102,0,-1377.4472350796152,51,среднее,1,гражданский брак,1,F,компаньон,126706.59851264796,на покупку подержанного автомобиля,0
103,1,-888.2833470851367,39,СРЕДНЕЕ,1,Не женат / не замужем,4,F,сотрудник,142231.48942162484,строительство недвижимости,0
104,0,366323.6494289441,59,среднее,1,Не женат / не замужем,4,F,пенсионер,163581.95007326518,покупка жилья для сдачи,0
105,0,-2098.6262962257147,62,СРЕДНЕЕ,1,вдовец / вдова,2,F,сотрудник,76884.18758751624,строительство собственной недвижимости,0
106,1,-300.64259328925505,29,среднее,1,гражданский брак,1,F,сотрудник,171871.73288718596,образование,0
107,0,-1493.4491168729676,24,высшее,0,гражданский брак,1,F,компаньон,202988.76912028992,строительство собственной недвижимости,0
108,2,-753.4670420858772,33,высшее,0,гражданский брак,1,F,сотрудник,180051.75197761177,сделка с подержанным автомобилем,0
109,0,-2147.472607702785,59,среднее,1,женат / замужем,0,F,сотрудник,107643.67560995698,образование,0
110,0,-413.9826020927449,41,среднее,1,женат / замужем,0,M,госслужащий,118551.6078291152,покупка жилья,0
111,0,-12930.541677797675,61,среднее,1,Не женат / не замужем,4,F,компаньон,173896.61827401767,недвижимость,0
112,1,-1841.3580944791947,28,высшее,0,женат / замужем,0,M,сотрудник,280934.30586873967,недвижимость,0
113,0,-6083.9947296293385,52,среднее,1,женат / замужем,0,F,госслужащий,120655.0982583378,образование,0
114,0,-1599.8791614370475,26,высшее,0,женат / замужем,0,F,сотрудник,143471.7122774315,операции со своей недвижимостью,1
115,1,-2523.847898226973,38,высшее,0,женат / замужем,0,F,госслужащий,97848.2766110214,операции с коммерческой недвижимостью,0
116,1,-540.0384252136863,50,среднее,1,женат / замужем,0,M,сотрудник,83366.31969915295,покупка жилой недвижимости,0
117,0,-3817.113294534001,41,среднее,1,в разводе,3,F,сотрудник,178975.13357434978,на покупку автомобиля,0
118,2,-2774.655137092032,33,среднее,1,гражданский брак,1,M,компаньон,113572.21337646277,на проведение свадьбы,0
119,0,382189.12905557256,60,среднее,1,Не женат / не замужем,4,F,пенсионер,31534.750497334928,покупка коммерческой недвижимости,0
120,0,,46,среднее,1,женат / замужем,0,F,сотрудник,,высшее образование,0
121,0,,29,высшее,0,женат / замужем,0,F,компаньон,,автомобиль,0
122,0,-171.1624207214407,55,ВЫСШЕЕ,0,женат / замужем,0,F,компаньон,103628.07085383665,автомобили,0
123,2,-5718.70890108714,39,Среднее,1,женат / замужем,0,M,сотрудник,83892.81598726273,покупка жилья для сдачи,0
124,0,-1080.514782425162,38,среднее,1,женат / замужем,0,F,сотрудник,175046.42251455868,операции с коммерческой недвижимостью,1
125,0,-191.1467457844417,64,высшее,0,гражданский брак,1,F,компаньон,186408.7418299351,свадьба,0
126,1,-2471.5485518184228,49,среднее,1,женат / замужем,0,M,компаньон,339517.3610727709,строительство собственной недвижимости,0
127,0,-5229.55206892918,43,ВЫСШЕЕ,0,Не женат / не замужем,4,F,сотрудник,203279.59982532423,строительство жилой недвижимости,0
128,0,379035.9206190428,67,среднее,1,в разводе,3,F,пенсионер,112331.78706716756,сделка с автомобилем,0
129,0,361010.32134996407,61,среднее,1,гражданский брак,1,M,пенсионер,103644.93254718713,автомобиль,0
130,0,-897.3228055367267,42,среднее,1,женат / замужем,0,F,компаньон,95845.74470717036,операции со своей недвижимостью,0
131,0,-639.5647075616622,58,среднее,1,женат / замужем,0,M,сотрудник,73637.58619017908,получение дополнительного образования,0
132,1,-1306.4284560155902,45,среднее,1,женат / замужем,0,M,сотрудник,246227.99254138197,автомобиль,0
133,0,344507.39278483123,64,среднее,1,женат / замужем,0,F,пенсионер,79047.6530585805,образование,0
134,1,-4171.107677064886,46,НЕОКОНЧЕННОЕ ВЫСШЕЕ,2,в разводе,3,F,сотрудник,166015.79050422882,покупка жилой недвижимости,0
135,0,,27,среднее,1,женат / замужем,0,M,компаньон,,жилье,0
136,0,357880.1593788016,60,начальное,3,женат / замужем,0,M,пенсионер,113124.20278145476,операции со своей недвижимостью,0
137,1,-1910.0375923185568,28,высшее,0,гражданский брак,1,M,сотрудник,269423.96295991854,сыграть свадьбу,0
138,0,-2572.053172717263,43,среднее,1,женат / замужем,0,F,госслужащий,119827.6542453248,покупка своего жилья,0
139,0,-1765.5573866944574,29,неоконченное высшее,2,женат / замужем,0,M,компаньон,196932.07728901436,ремонт жилью,0
140,0,-3017.782065456124,24,среднее,1,гражданский брак,1,F,сотрудник,102110.98914883527,покупка коммерческой недвижимости,0
141,0,,39,среднее,1,гражданский брак,1,M,сотрудник,,свадьба,0
142,0,347947.8355073804,54,среднее,1,женат / замужем,0,F,пенсионер,108280.64485742812,сделка с подержанным автомобилем,0
143,0,-1893.2998286398856,48,среднее,1,вдовец / вдова,2,F,сотрудник,151069.43847035486,строительство собственной недвижимости,0
144,1,-2105.382664335544,45,среднее,1,гражданский брак,1,F,сотрудник,284248.0832952967,свой автомобиль,0
145,0,,62,среднее,1,женат / замужем,0,M,пенсионер,,строительство недвижимости,0
146,0,-1302.0260419746796,46,среднее,1,женат / замужем,0,F,сотрудник,98709.73054718717,покупка жилья,0
147,0,-5772.479895574409,47,среднее,1,женат / замужем,0,F,госслужащий,74535.09733065074,операции с недвижимостью,1
148,0,-5050.292839852283,37,среднее,1,женат / замужем,0,F,сотрудник,145159.21497712686,на покупку своего автомобиля,0
149,0,-2664.273168317157,0,среднее,1,в разводе,3,F,сотрудник,70176.43595051017,операции с жильем,0
150,0,393711.519922678,71,среднее,1,гражданский брак,1,F,пенсионер,174088.29322065786,сыграть свадьбу,0
151,0,-896.462371368615,37,высшее,0,гражданский брак,1,F,компаньон,463089.9792084557,сыграть свадьбу,0
152,1,-3597.776387865821,39,среднее,1,женат / замужем,0,F,компаньон,40891.12824378687,покупка своего жилья,0
153,1,-132.74853603066168,20,среднее,1,женат / замужем,0,M,компаньон,134750.74951489054,жилье,1
154,1,-1803.9306052678608,41,высшее,0,вдовец / вдова,2,F,сотрудник,143113.3292930616,операции с коммерческой недвижимостью,0
155,0,-1208.5961786776136,40,среднее,1,женат / замужем,0,F,компаньон,70788.33944690305,дополнительное образование,0
156,0,362366.8571652186,65,Среднее,1,женат / замужем,0,M,пенсионер,261291.0364533132,получение дополнительного образования,0
157,0,348414.02800940943,38,среднее,1,женат / замужем,0,F,пенсионер,113560.65003534064,сделка с автомобилем,1
158,0,-11001.589092067064,56,среднее,1,женат / замужем,0,F,сотрудник,80547.23925773834,образование,0
159,0,371052.6968127112,59,среднее,1,Не женат / не замужем,4,F,пенсионер,149542.8588742301,на покупку своего автомобиля,0
160,0,-2063.2234729922893,45,среднее,1,гражданский брак,1,M,сотрудник,198386.798958856,покупка жилья для сдачи,0
161,1,-1147.591637441718,39,высшее,0,женат / замужем,0,F,сотрудник,87107.11820547588,приобретение автомобиля,0
162,0,-3755.843042173655,62,среднее,1,женат / замужем,0,M,сотрудник,66577.61712641187,получение дополнительного образования,0
163,0,-7473.902957321618,50,среднее,1,женат / замужем,0,M,сотрудник,78975.57711163633,ремонт жилью,0
164,2,-2357.523213608679,27,высшее,0,женат / замужем,0,F,сотрудник,369587.0876962028,на покупку своего автомобиля,1
165,2,-1268.8706856224185,32,высшее,0,женат / замужем,0,M,госслужащий,228289.248361869,покупка жилья,0
166,0,-450.0613423824006,38,Среднее,1,гражданский брак,1,M,сотрудник,144073.71137831223,операции с жильем,0
167,0,-7219.276087439847,56,среднее,1,гражданский брак,1,F,госслужащий,220719.05505659032,на проведение свадьбы,0
168,0,361970.2205052443,67,среднее,1,вдовец / вдова,2,F,пенсионер,139038.94464450798,покупка своего жилья,0
169,0,372110.89295327937,58,среднее,1,гражданский брак,1,F,пенсионер,167861.70077631506,приобретение автомобиля,0
170,0,-182.2267232528777,28,высшее,0,Не женат / не замужем,4,M,сотрудник,121721.8927765662,жилье,0
171,0,-9566.241471478188,60,среднее,1,гражданский брак,1,F,компаньон,225197.795335085,на проведение свадьбы,0
172,0,-4652.167869366604,49,среднее,1,женат / замужем,0,F,сотрудник,182980.11560336116,строительство недвижимости,0
173,0,-9099.945304784307,49,среднее,1,женат / замужем,0,M,компаньон,416461.874680372,покупка коммерческой недвижимости,0
174,0,,55,высшее,0,вдовец / вдова,2,F,компаньон,,свой автомобиль,0
175,2,-1734.7410117276208,38,среднее,1,женат / замужем,0,F,сотрудник,141210.68421368927,строительство недвижимости,0
176,0,364178.2549302824,60,среднее,1,женат / замужем,0,F,пенсионер,104621.06741141542,заняться высшим образованием,0
177,2,-2109.314690632105,48,среднее,1,женат / замужем,0,M,госслужащий,173074.19294233265,сделка с подержанным автомобилем,0
178,0,395728.36139811255,59,среднее,1,вдовец / вдова,2,F,пенсионер,87268.77878594003,приобретение автомобиля,0
179,0,-1177.0553834454738,43,среднее,1,Не женат / не замужем,4,F,сотрудник,177790.01385692504,покупка своего жилья,0
180,0,-60.6373275553343,37,среднее,1,гражданский брак,1,F,сотрудник,212257.2125065801,сыграть свадьбу,0
181,0,,26,среднее,1,гражданский брак,1,F,компаньон,,покупка жилья для семьи,1
182,1,-8164.333209415941,49,среднее,1,гражданский брак,1,F,сотрудник,81419.70340277969,свадьба,0
183,1,-166.26503703628762,35,высшее,0,гражданский брак,1,M,компаньон,272193.00295690284,получение дополнительного образования,1
184,0,369682.2227151696,57,высшее,0,женат / замужем,0,M,пенсионер,141337.86704165823,покупка жилья для сдачи,0
185,0,-5026.2294602728525,32,среднее,1,гражданский брак,1,M,сотрудник,160905.70703999972,получение дополнительного образования,1
186,0,-225.1236894800484,34,среднее,1,в разводе,3,F,сотрудник,201650.35527091235,операции с коммерческой недвижимостью,0
187,0,-876.8431101663022,46,высшее,0,гражданский брак,1,F,сотрудник,260037.6656030533,высшее образование,0
188,0,-99.19594695041458,48,среднее,1,женат / замужем,0,M,сотрудник,173544.6795225835,покупка своего жилья,0
189,1,,30,среднее,1,Не женат / не замужем,4,F,сотрудник,,свой автомобиль,0
190,0,-335.5229563354112,26,среднее,1,гражданский брак,1,M,компаньон,160891.47206000533,на проведение свадьбы,0
191,0,336562.0164318586,60,СРЕДНЕЕ,1,женат / замужем,0,F,пенсионер,173948.35223498062,высшее образование,0
192,0,-2573.1367803783523,47,среднее,1,женат / замужем,0,M,сотрудник,218442.0077563275,свой автомобиль,0
193,0,386330.8511360464,60,высшее,0,в разводе,3,F,пенсионер,97191.99640027812,на покупку подержанного автомобиля,0
194,0,-98.31216168444011,24,среднее,1,гражданский брак,1,M,компаньон,135860.8870305674,получение образования,0
195,0,-117.12788647939188,51,среднее,1,женат / замужем,0,F,сотрудник,255838.3616801636,дополнительное образование,0
196,0,-1589.7814009573162,37,высшее,0,женат / замужем,0,F,компаньон,160754.5480823424,покупка своего жилья,0
197,0,-12136.131380846336,59,высшее,0,женат / замужем,0,F,сотрудник,140849.62459987565,покупка недвижимости,0
198,0,-1403.0808299019186,52,среднее,1,Не женат / не замужем,4,F,компаньон,139169.41346167913,на покупку своего автомобиля,0
199,1,-223.5470176888244,23,Среднее,1,вдовец / вдова,2,F,сотрудник,58549.627394318864,сделка с подержанным автомобилем,0
200,0,-5532.372185033889,41,среднее,1,гражданский брак,1,F,сотрудник,201126.0474025323,строительство недвижимости,0
201,0,-6542.460790155981,39,среднее,1,женат / замужем,0,F,компаньон,86996.80722956106,покупка жилой недвижимости,0
202,1,-1575.3235775718508,38,среднее,1,женат / замужем,0,F,сотрудник,90960.94119189213,покупка жилой недвижимости,1
203,0,-2829.665755236844,56,СРЕДНЕЕ,1,женат / замужем,0,M,сотрудник,163774.77340601108,строительство собственной недвижимости,0
204,0,334637.4644627627,61,среднее,1,женат / замужем,0,F,пенсионер,181307.7994224636,строительство жилой недвижимости,0
205,1,,31,высшее,0,женат / замужем,0,F,сотрудник,,на покупку подержанного автомобиля,0
206,0,363924.8816676821,54,Среднее,1,женат / замужем,0,F,пенсионер,267172.7091996921,получение образования,0
207,0,-1352.3179068855802,37,среднее,1,Не женат / не замужем,4,F,сотрудник,112735.87896430984,покупка своего жилья,0
208,0,-749.1756772991432,22,среднее,1,гражданский брак,1,M,компаньон,162492.01844851565,профильное образование,0
209,2,-271.5705315052388,38,высшее,0,женат / замужем,0,F,сотрудник,195133.38745708505,операции с коммерческой недвижимостью,0
210,2,342167.21211236675,55,начальное,3,вдовец / вдова,2,F,пенсионер,160635.12034694868,строительство жилой недвижимости,0
211,0,-577.2734342991156,41,начальное,3,гражданский брак,1,F,сотрудник,36649.0784390092,сделка с подержанным автомобилем,0
212,0,-5863.259029756954,48,высшее,0,Не женат / не замужем,4,M,госслужащий,239697.6161592209,приобретение автомобиля,0
213,1,-703.2435102199611,38,высшее,0,гражданский брак,1,M,сотрудник,231389.8327944069,на покупку автомобиля,1
214,2,-1321.0792231329488,41,неоконченное высшее,2,женат / замужем,0,F,сотрудник,314546.9933727884,покупка жилья для семьи,0
215,0,-79.88034967664467,42,высшее,0,Не женат / не замужем,4,F,компаньон,260465.3944997188,операции с недвижимостью,0
216,0,-356.1311943614808,22,высшее,0,гражданский брак,1,F,сотрудник,118757.77013512445,образование,0
217,0,384569.9216399707,54,среднее,1,гражданский брак,1,F,пенсионер,269589.0051292617,строительство собственной недвижимости,0
218,1,-2924.5983864777645,34,среднее,1,женат / замужем,0,F,сотрудник,213214.0924519784,на покупку своего автомобиля,1
219,0,-597.2734021772915,21,неоконченное высшее,2,гражданский брак,1,F,компаньон,86954.92246460478,операции с коммерческой недвижимостью,0
220,1,,23,неоконченное высшее,2,гражданский брак,1,F,компаньон,,сыграть свадьбу,0
221,0,383772.1713231299,65,среднее,1,вдовец / вдова,2,F,пенсионер,178464.0801124702,автомобили,0
222,0,-145.541617523979,32,высшее,0,женат / замужем,0,M,компаньон,188982.6725700104,покупка жилой недвижимости,0
223,0,337679.3582702238,61,среднее,1,в разводе,3,F,пенсионер,110251.170412476,операции с коммерческой недвижимостью,0
224,2,-1024.9491604702278,41,среднее,1,женат / замужем,0,F,компаньон,94587.13139055832,покупка своего жилья,0
225,0,-434.9313375154888,52,среднее,1,женат / замужем,0,F,сотрудник,153892.26560479988,строительство недвижимости,0
226,1,-2066.908426077889,30,среднее,1,женат / замужем,0,F,госслужащий,132754.36261306456,получение высшего образования,0
227,1,-1588.8316419325315,64,высшее,0,гражданский брак,1,F,сотрудник,142424.64353092152,жилье,0
228,0,339193.0942916696,60,среднее,1,Не женат / не замужем,4,F,пенсионер,190426.12751817648,ремонт жилью,0
229,0,336747.83528374555,73,среднее,1,вдовец / вдова,2,F,пенсионер,136897.0083753175,сделка с подержанным автомобилем,0
230,1,-2049.211575996865,28,среднее,1,гражданский брак,1,M,компаньон,188585.6447572717,свадьба,1
231,1,-144.18585382423603,41,СРЕДНЕЕ,1,женат / замужем,0,F,сотрудник,112090.59753315602,покупка жилья для семьи,1
232,0,-3803.807419355826,49,среднее,1,гражданский брак,1,F,сотрудник,74616.8762361815,свадьба,0
233,1,-1475.697490068114,50,среднее,1,женат / замужем,0,F,сотрудник,143391.0714239233,на покупку автомобиля,0
234,0,-5865.31500734791,52,среднее,1,Не женат / не замужем,4,F,сотрудник,140447.6939909726,профильное образование,0
235,0,-1031.9076040874072,50,среднее,1,женат / замужем,0,F,сотрудник,125165.9401116094,жилье,0
236,0,395825.13252984686,59,среднее,1,женат / замужем,0,F,пенсионер,142956.54589458782,на покупку автомобиля,0
237,2,-2585.402858170127,37,среднее,1,женат / замужем,0,M,сотрудник,202689.7570034978,покупка недвижимости,0
238,0,-708.0735831904608,44,среднее,1,гражданский брак,1,F,сотрудник,235437.4092191936,на проведение свадьбы,0
239,0,-5267.841785143054,43,среднее,1,женат / замужем,0,M,сотрудник,436688.7692746029,операции с недвижимостью,0
240,0,-4973.641484774767,47,среднее,1,вдовец / вдова,2,F,компаньон,132797.24369500572,покупка коммерческой недвижимости,0
241,0,,47,среднее,1,женат / замужем,0,M,сотрудник,,строительство собственной недвижимости,0
242,0,,58,среднее,1,женат / замужем,0,F,госслужащий,,покупка своего жилья,0
243,0,-464.6341336266803,49,высшее,0,гражданский брак,1,M,компаньон,383743.1531675507,свадьба,0
